Month,ARANYAPRATHET_GCM,AYUNPA_GCM,BANGKOK_GCM,BAOLOC_GCM,BATO_GCM,BMTHUOT_GCM,CAMAU_GCM,CANTHO_GCM,CHANTHABURI_GCM,DAKNONG_GCM,DALAT_GCM,DANANG_GCM,DONGHA_GCM,DONGHOI_GCM,HUE_GCM,KHORAT_GCM,KONTUM_GCM,PLEIKU_GCM,QUANGNGAI_GCM,QUYNHON_GCM,RACHGIA_GCM,SAKON-NAKHON_GCM,SATTAHIP_GCM,SURIN_GCM,TRAMY_GCM,TUYHOA_GCM,VUNGTAU_GCM,ARANYAPRATHET_RCM25KM,AYUNPA_RCM25KM,BANGKOK_RCM25KM,BAOLOC_RCM25KM,BATO_RCM25KM,BMTHUOT_RCM25KM,CAMAU_RCM25KM,CANTHO_RCM25KM,CHANTHABURI_RCM25KM,DAKNONG_RCM25KM,DALAT_RCM25KM,DANANG_RCM25KM,DONGHA_RCM25KM,DONGHOI_RCM25KM,HUE_RCM25KM,KHORAT_RCM25KM,KONTUM_RCM25KM,PLEIKU_RCM25KM,QUANGNGAI_RCM25KM,QUYNHON_RCM25KM,RACHGIA_RCM25KM,SAKON-NAKHON_RCM25KM,SATTAHIP_RCM25KM,SURIN_RCM25KM,TRAMY_RCM25KM,TUYHOA_RCM25KM,VUNGTAU_RCM25KM,ARANYAPRATHET_RCM5KM,AYUNPA_RCM5KM,BANGKOK_RCM5KM,BAOLOC_RCM5KM,BATO_RCM5KM,BMTHUOT_RCM5KM,CAMAU_RCM5KM,CANTHO_RCM5KM,CHANTHABURI_RCM5KM,DAKNONG_RCM5KM,DALAT_RCM5KM,DANANG_RCM5KM,DONGHA_RCM5KM,DONGHOI_RCM5KM,HUE_RCM5KM,KHORAT_RCM5KM,KONTUM_RCM5KM,PLEIKU_RCM5KM,QUANGNGAI_RCM5KM,QUYNHON_RCM5KM,RACHGIA_RCM5KM,SAKON-NAKHON_RCM5KM,SATTAHIP_RCM5KM,SURIN_RCM5KM,TRAMY_RCM5KM,TUYHOA_RCM5KM,VUNGTAU_RCM5KM,ARANYAPRATHET_CHIRPS,AYUNPA_CHIRPS,BANGKOK_CHIRPS,BAOLOC_CHIRPS,BATO_CHIRPS,BMTHUOT_CHIRPS,CAMAU_CHIRPS,CANTHO_CHIRPS,CHANTHABURI_CHIRPS,DAKNONG_CHIRPS,DALAT_CHIRPS,DANANG_CHIRPS,DONGHA_CHIRPS,DONGHOI_CHIRPS,HUE_CHIRPS,KHORAT_CHIRPS,KONTUM_CHIRPS,PLEIKU_CHIRPS,QUANGNGAI_CHIRPS,QUYNHON_CHIRPS,RACHGIA_CHIRPS,SAKON-NAKHON_CHIRPS,SATTAHIP_CHIRPS,SURIN_CHIRPS,TRAMY_CHIRPS,TUYHOA_CHIRPS,VUNGTAU_CHIRPS,ARANYAPRATHET_OBS,AYUNPA_OBS,BANGKOK_OBS,BAOLOC_OBS,BATO_OBS,BMTHUOT_OBS,CAMAU_OBS,CANTHO_OBS,CHANTHABURI_OBS,DAKNONG_OBS,DALAT_OBS,DANANG_OBS,DONGHA_OBS,DONGHOI_OBS,HUE_OBS,KHORAT_OBS,KONTUM_OBS,PLEIKU_OBS,QUANGNGAI_OBS,QUYNHON_OBS,RACHGIA_OBS,SAKON-NAKHON_OBS,SATTAHIP_OBS,SURIN_OBS,TRAMY_OBS,TUYHOA_OBS,VUNGTAU_OBS
1,0.227631,2.91093,0.158753,3.3018,8.58419,2.91093,2.60578,2.60578,0.417599,3.3018,3.3018,8.42441,4.62744,4.62744,8.42441,0.17473,2.77881,2.77881,8.58419,7.44186,2.18385,0.250418,0.314089,0.163715,6.70747,6.18501,1.7679,0.895905,4.15036,0.848147,4.02996,18.7443,4.43369,3.96409,4.65673,0.483004,4.20582,5.36812,8.50683,10.3253,8.9792,13.5888,0.907615,2.57346,2.30461,17.366,10.739,4.81716,0.670809,2.02817,0.852871,17.4699,11.7112,2.26133,0.295841,1.85207,0.581473,2.30198,7.94565,1.82228,3.32439,1.24629,0.486154,1.37209,2.82652,19.6083,7.17571,9.9921,12.0794,0.246385,1.5865,0.654909,12.9086,26.0628,2.2736,0.3418,1.13826,0.441838,12.746,12.7167,0.689525,0.168258,0.11364,0.295667,0.742662,2.31042,0.0828263,0.473426,0.266229,0.615618,0.362214,0.285637,2.71345,2.78408,0.325237,1.7453,0.0883627,0.290083,0.322955,4.44663,1.78279,0.248694,0.124797,0.830425,0.0807254,2.51318,1.65032,0.0812728,4.3,0,0.683870968,2,4.2,0.2,0.6,0.2,1.2,0.4,0.2,2.1,1.6,2,3.1,1.2,0.2,0,3.1,1.6,0.3,4.3,5.1,0.2,3.9,1.5,0.1
2,0.548611,1.81722,0.387643,2.25662,3.6165,1.81722,1.69136,1.69136,0.891083,2.25662,2.25662,3.08584,1.63843,1.63843,3.08584,0.351058,1.65896,1.65896,3.6165,3.83405,1.38132,0.384946,0.516975,0.315235,3.09934,3.70392,1.11293,2.04765,3.57839,1.79544,5.40649,11.6424,3.7038,3.44416,4.94742,0.80958,6.14143,4.79948,5.44442,5.02534,4.19726,6.59119,1.73308,3.20603,2.81063,11.2997,7.45982,5.07048,1.97315,3.61917,1.60723,9.58987,7.77697,1.16441,0.519957,1.32075,1.04334,2.53205,4.46976,1.17043,3.06762,1.41372,0.822788,1.11445,2.82519,13.496,3.40937,6.0247,6.47675,0.646748,1.42104,0.875575,7.68573,18.2415,2.09321,0.535917,2.8294,0.828579,5.61877,10.361,0.330703,0.975477,0.132066,0.577218,0.823123,1.09395,0.178546,0.214512,0.102535,0.84775,0.565313,0.841206,0.565961,1.82461,0.219395,2.86798,0.455542,0.412009,0.328507,1.84338,0.917604,0.150789,0.698662,1.21165,0.341277,1.1367,0.836233,0.285147,0.9,0.1,0.46953202,2.2,2.5,0.2,0.6,0.1,1.4,1.5,0.7,1,1.3,1.3,2.4,0.8,0.3,0.3,1.4,0.9,0.4,1.3,0.4,0.4,2.8,0.7,0
3,1.91951,1.20093,1.6027,1.69545,1.24477,1.20093,1.61578,1.61578,3.04683,1.69545,1.69545,1.14909,1.0385,1.0385,1.14909,1.2562,1.10425,1.10425,1.24477,1.33304,1.47507,1.07175,1.77452,1.16027,1.71542,1.48941,1.07466,4.12358,4.93775,1.97534,9.01344,6.81813,4.97195,5.96881,7.62874,0.915313,10.0481,7.70917,3.04686,3.57445,3.66561,4.19036,2.12439,4.75065,4.91687,7.52567,4.8556,7.05035,3.3512,4.6891,2.86182,5.36186,5.3726,2.23113,1.01775,1.14067,1.69724,3.4688,1.89217,1.94626,3.74948,2.23684,1.20148,1.53601,5.45833,6.24435,1.55976,2.88158,2.63438,1.34967,1.21467,1.57806,4.26441,13.1113,3.44572,0.681803,5.47575,1.4682,2.61122,6.40237,0.604796,1.70069,0.661262,1.31394,2.84435,1.53651,0.632384,0.686151,0.294284,2.68932,2.12681,2.09588,0.642129,1.6673,1.22774,2.90465,1.419,1.1964,1.04548,1.56969,0.842497,1.13165,2.05911,2.49438,0.887821,1.67647,0.567833,0.275314,1.6,0.6,1.74016129,4.1,2.3,0.9,1,0.5,2.8,3.6,2.6,0.9,1.5,1.4,1.5,1.1,0.8,1.1,1.3,1.1,0.6,1.6,5.8,1.3,2.6,1.2,0.2
4,3.52562,1.94034,3.43274,2.62093,1.24496,1.94034,3.33483,3.33483,4.62626,2.62093,2.62093,1.14956,0.975683,0.975683,1.14956,3.00198,1.81146,1.81146,1.24496,1.33989,2.8226,2.97009,3.10778,2.74558,2.48675,1.5775,2.37997,10.6832,12.0789,6.15029,11.8088,9.96544,10.9587,12.5008,13.9698,8.44425,18.0795,10.8459,4.53807,6.85744,6.6404,6.39263,7.9921,11.205,13.0079,10.1655,6.43417,12.069,9.91588,7.85975,9.29758,9.24012,7.4501,7.60576,2.216,2.42423,3.19247,5.92485,2.10644,3.34231,4.27442,3.13012,2.25221,2.15198,12.7475,3.85427,1.55156,3.56036,1.79607,3.08083,2.08447,3.68469,2.91386,7.8159,4.95592,1.96655,11.1241,2.67174,1.52792,3.96174,0.864132,2.70333,1.8349,2.39063,3.84851,1.98455,2.16317,2.22066,1.13222,4.03377,3.74057,4.84462,0.58563,1.43895,1.94732,1.28387,2.08491,2.5229,1.88575,0.993056,0.885189,2.5687,2.65053,2.08448,2.71892,2.15027,1.05762,0.530266,6.6,1.7,2.0135,6.9,2.4,2.6,3.8,0.9,7.3,5.4,5.8,1.1,1.9,1.3,1.9,6.2,3,2.6,1,0.8,2.7,3,2.6,2.6,3.4,0.9,0.7
5,5.02756,3.90363,3.9754,5.67326,1.86427,3.90363,6.02221,6.02221,6.61412,5.67326,5.67326,1.46516,1.34917,1.34917,1.46516,4.40628,3.60734,3.60734,1.86427,2.38517,6.08926,5.28215,6.44566,4.28054,3.65294,3.00723,4.83518,16.263,22.1752,11.2573,36.9831,21.4393,16.6992,19.103,20.7839,31.6792,21.9758,16.5625,10.0188,15.951,13.4488,17.201,12.9359,31.047,28.4334,20.7701,13.3867,19.7762,15.2778,10.5208,14.8304,17.332,18.252,19.3753,2.98045,4.63512,4.30616,5.82124,1.88237,4.20889,4.10925,3.40869,12.0108,2.16275,19.9088,2.53601,1.9761,3.63827,1.59081,5.23162,3.30521,6.68811,1.28782,2.52528,20.9874,3.52295,42.9686,3.3509,1.47735,0.838031,0.886893,5.9488,6.65108,7.40393,4.72376,5.58588,7.90523,7.55927,4.69006,11.6282,9.11086,7.69564,1.82964,4.51433,4.04638,4.12827,5.03078,9.32177,9.80591,2.00346,2.1687,5.7982,8.3502,6.91913,6.45826,6.3021,3.7676,7.17849,4.6,4.9,5.81016129,8.9,6.4,8.3,8.1,5.1,10.1,9.5,7,3.4,4,4.6,4,4.9,8.1,7.7,3.4,2.7,7.3,6.7,4.4,5.4,9.4,3,6.3
6,5.90653,5.25652,4.34619,7.2798,2.76948,5.25652,10.7171,10.7171,9.26191,7.2798,7.2798,2.46359,1.62069,1.62069,2.46359,4.4955,4.34708,4.34708,2.76948,3.49739,11.3002,5.65984,9.40264,4.72751,4.25481,4.44968,7.13216,16.6882,13.8118,10.8129,29.4751,16.4922,12.7544,12.9802,14.554,47.3638,16.9521,13.2409,8.75011,10.0268,7.90351,12.9353,11.5239,31.8152,23.5485,17.639,8.44078,12.4511,13.8322,9.65861,14.429,12.5017,15.2589,14.1768,2.68251,3.10962,4.37719,3.54336,1.33424,3.48063,4.16888,3.44209,36.9647,3.20754,18.8925,0.792428,1.53909,2.65996,1.88302,5.94221,1.58194,2.56912,0.691,2.64846,25.3092,4.28088,46.8539,3.27479,1.00949,0.682081,0.874243,5.60451,5.06794,5.44121,7.71753,7.65639,7.67856,9.08248,6.32781,16.9281,7.38906,5.15139,3.12132,2.69992,1.93834,2.74406,3.84004,12.784,13.586,2.83588,2.36626,7.82803,8.38654,3.59599,6.45801,8.40764,1.52758,6.9215,8.8,4.2,4.576333333,10.1,5,8.2,11.2,7.1,14.5,11,7,2.8,2.5,2.2,2.8,3.9,7.8,10,3.1,2.3,10,7.9,4,6.7,6.9,1.8,7.8
7,5.79261,5.62619,4.60314,7.50739,2.84289,5.62619,11.7681,11.7681,9.10453,7.50739,7.50739,3.0393,2.20895,2.20895,3.0393,4.20754,4.53639,4.53639,2.84289,3.74789,11.2822,5.45171,8.43552,4.69163,4.07986,4.73911,7.63313,12.2262,10.597,5.83035,15.5644,13.7726,9.74962,9.90237,10.3269,23.1459,11.7777,14.0122,6.47128,6.96674,5.42343,9.31189,9.10391,20.272,15.8822,13.3728,5.27194,7.26022,12.5557,5.42229,10.8414,9.58441,10.7881,4.7584,1.82431,3.21234,3.37131,3.39432,1.09855,3.04854,4.1428,3.20237,22.2685,2.4204,15.7593,0.550236,1.40826,2.10467,1.60133,4.89158,1.27124,2.30968,0.680342,2.1819,15.9337,3.30738,26.4416,2.82249,0.836664,0.765162,0.419066,5.77902,7.16553,5.66681,10.7612,7.1897,8.26446,9.10341,7.78606,15.8583,11.0324,6.42604,3.93579,3.73636,2.9386,2.20424,4.00485,16.3658,15.6656,2.33571,1.70841,10.5689,8.05039,3.2156,6.71712,8.68344,2.3649,6.87379,4.8,3.9,4.110645161,12.8,3,8.1,11,8.2,12.4,13.5,8.1,2.8,2.4,1.8,2.1,3.2,10.2,12.6,2.5,1,11.8,7.9,3.7,6.6,5.4,1.3,7.4
8,5.75552,5.22956,4.90253,7.08617,2.83594,5.22956,11.6151,11.6151,9.14188,7.08617,7.08617,3.70188,3.66253,3.66253,3.70188,4.39036,4.47812,4.47812,2.83594,3.14633,12.206,5.74271,8.42297,4.85086,4.1543,3.85127,7.64478,12.1127,11.8482,5.77011,17.9738,17.0346,11.3648,10.2114,11.1335,21.6251,14.5173,20.0438,7.71086,8.44848,7.23041,11.0958,9.05028,21.2298,17.9332,15.7594,6.66767,7.17305,12.1274,5.07555,10.7952,11.1657,12.3682,5.06979,1.8623,3.59161,3.86192,4.17969,1.20435,3.85794,4.48167,3.86024,30.4791,3.09656,14.5008,0.862844,1.5814,2.20884,1.63563,4.62087,1.74821,3.05976,0.904952,2.45155,36.422,2.93249,19.0648,2.90708,0.942271,1.03514,0.766381,6.3962,9.80543,7.0699,13.5634,11.6292,12.1461,11.0737,6.69654,16.3227,13.29,6.56262,4.10045,3.99476,6.5547,4.01535,5.3343,20.5502,18.655,5.5969,2.50977,9.93834,11.2197,3.08647,7.73447,12.0833,1.97055,7.1269,9.6,5.4,4.848064516,16.4,6.3,10.8,11.1,6.9,15.3,14.6,8.4,5.3,5.4,6,5,5.1,11.1,14.4,4.5,2.4,10.3,10.6,2.9,8.2,6.8,1.9,7.4
9,7.33942,6.8974,6.61992,7.90147,6.05162,6.8974,10.6804,10.6804,9.78522,7.90147,7.90147,8.01322,8.86205,8.86205,8.01322,5.77158,6.53099,6.53099,6.05162,6.09979,10.8775,5.15961,10.0888,5.79002,6.62366,6.25948,7.5229,12.9109,13.6753,6.71398,18.1678,17.5057,11.3652,9.62428,10.9706,18.0874,16.9381,18.5318,7.11316,11.8869,11.8326,11.9607,10.992,20.9771,19.5883,15.6988,7.93156,6.95452,14.1607,6.58559,11.9945,12.1881,11.9478,5.35747,2.20615,4.62221,3.85786,4.39537,2.26811,5.17636,4.51353,3.90079,17.8977,3.79076,20.1837,13.1448,5.43371,20.3669,7.8368,4.7103,1.69872,5.00165,3.74292,4.50653,47.5536,3.13167,14.3814,3.18413,3.27043,1.93459,0.441537,8.43602,8.36629,10.8,11.1994,11.8148,9.05928,10.0766,8.28339,16.3297,9.93955,8.5271,7.87898,11.7659,9.80722,10.3192,7.45655,12.2938,12.0897,9.65556,8.09836,8.32709,8.04319,8.44062,8.04667,11.5875,6.53661,8.40801,7.6,7.7,8.824833334,12.7,10.9,10.2,11.2,8.3,14.9,13.4,9,9.8,10.8,12.2,10.6,7.5,9.9,12.5,10.4,8.2,9.7,6.8,6.6,7.8,12.6,9.1,7.6
10,3.41878,6.44129,3.87047,8.83147,16.997,6.44129,10.5822,10.5822,4.55293,8.83147,8.83147,18.9402,14.8947,14.8947,18.9402,2.17872,5.51375,5.51375,16.997,10.2588,9.30095,1.46709,5.94936,1.93235,10.636,8.50162,9.0825,11.436,10.5339,9.44419,19.3875,16.736,10.3234,12.9651,14.8874,9.33931,20.8027,13.7093,11.6233,14.2901,15.3674,12.5882,9.77199,14.2424,13.4865,19.8442,13.237,13.7395,6.35671,12.5256,9.10778,14.9599,12.4643,8.87269,1.74259,1.96701,2.33128,7.08004,3.21538,6.11403,4.90188,4.03272,3.44372,2.92705,12.342,58.7571,12.1368,42.5667,22.0353,1.81436,3.3194,3.27053,12.3665,26.7087,16.327,1.08899,7.88244,2.14358,6.74664,9.43729,1.5256,5.77859,7.34304,8.84644,9.78064,19.3125,5.912,9.91314,8.48857,8.98502,7.80772,7.98631,20.4895,17.7117,10.1744,22.1799,4.30359,5.78545,6.89163,20.0189,16.3233,9.38004,1.91131,9.54404,3.82312,20.2007,15.8792,6.95248,5.4,7.6,6.99016129,11.5,28.6,6.9,12.7,9.1,8.4,8.4,7.7,21,20,20.6,22.8,4.3,5.7,6.5,21.9,19.3,8.8,1.7,7.8,3.7,32.7,20.9,8.1
11,1.67412,5.89874,1.56328,6.98986,19.1132,5.89874,9.18324,9.18324,1.99349,6.98986,6.98986,19.4853,12.5204,12.5204,19.4853,1.24557,6.28156,6.28156,19.1132,13.3434,10.2734,1.08164,2.33404,1.08896,13.5065,10.5306,6.11537,3.59849,6.27712,3.47188,12.719,20.7031,6.99636,11.4104,10.6653,1.95766,9.74863,7.11985,12.5296,15.238,13.3859,16.0955,2.56072,6.08218,5.08629,22.7279,16.0754,11.277,1.7462,6.36301,2.63615,19.3738,16.851,8.27984,0.830549,2.09917,0.992281,3.93735,8.95666,3.51504,3.55273,2.33062,0.792701,2.29555,6.08758,45.6278,11.8374,25.7284,20.5213,0.714335,2.96936,2.04628,21.7573,54.4829,3.41878,0.825055,2.22413,0.830504,15.0488,29.3414,1.10673,1.43799,3.706,1.52764,5.13362,11.6191,2.60051,5.14284,4.70984,1.69492,2.99067,2.88105,9.38986,9.11267,2.21961,12.0094,0.728801,2.19886,1.37176,16.5274,15.0918,5.43125,0.343942,2.64947,0.614611,12.2058,12.8829,2.41851,5.3,4.6,1.500666667,6.4,28,3.4,6.8,5.1,2.1,2.6,3.6,13.9,13.2,9.4,21.6,0.8,2,2.3,18.3,14.3,6.9,4.5,2.3,1,32.5,15.4,2.4
12,0.467335,4.03072,0.479049,4.66106,11.8648,4.03072,4.13704,4.13704,0.59981,4.66106,4.66106,12.0083,6.61586,6.61586,12.0083,0.337611,4.01496,4.01496,11.8648,9.71407,4.22063,0.308267,0.590908,0.318961,9.58992,8.46057,2.82423,1.62083,5.44246,1.12622,5.79008,23.896,5.74888,7.16127,6.6697,0.799727,5.48717,6.75988,13.7011,16.0409,11.5545,20.9057,1.12367,2.85126,2.59411,24.4927,14.2351,6.57466,0.688044,2.33322,1.03433,23.6386,15.8491,5.52127,0.325525,3.20102,0.569375,3.41801,10.7175,3.22019,2.58899,1.28003,0.415896,2.2466,4.78811,29.7852,11.2166,17.32,19.0888,0.383102,2.26021,1.45935,18.007,43.8133,1.93937,0.772976,0.878997,0.575061,17.4799,23.9691,0.890617,0.240396,0.843462,0.216317,2.25965,4.23527,0.717811,2.41607,1.42334,0.235561,1.11241,0.865628,6.41663,5.29537,0.462588,3.4391,0.104174,0.5853,0.151223,8.14521,5.24182,1.31322,0.113225,0.37805,0.0663391,4.1293,4.47994,0.746786,0.2,1.2,0.158225806,2.6,19.5,0.9,2,1.6,0.5,0.9,1.2,7.7,6.5,4,11.7,0.2,0.4,0.5,10.1,7.7,1.5,0.3,0.4,4.4,18.1,8,0.4
